CustomerID,PurchasingSegment,PurchaseAmount,PurchaseFrequency,WebsiteBehaviorSegment,WebsiteVisits,TimeOnSite,BounceRate,CombinedSegment
1,VIP Shopper,3607,11,Bouncers,6,11.28,53.33,VIP Shopper & Bouncers
2,Loyal Shopper,695,9,Active Visitors,19,12.5,40.56,Loyal Shopper & Active Visitors
3,VIP Shopper,3040,9,Casual Browsers,38,5.19,16.92,VIP Shopper & Casual Browsers
4,Loyal Shopper,1949,6,Bouncers,28,12.89,97.75,Loyal Shopper & Bouncers
5,Loyal Shopper,2554,6,Bouncers,2,11.86,85.33,Loyal Shopper & Bouncers
6,Casual Shopper,2822,4,Casual Browsers,38,4.51,49.83,Casual Shopper & Casual Browsers
7,Loyal Shopper,1204,4,Casual Browsers,37,2.13,60.32,Loyal Shopper & Casual Browsers
8,Loyal Shopper,637,5,Active Visitors,4,12.48,22.73,Loyal Shopper & Active Visitors
9,Casual Shopper,4621,3,Bouncers,22,15.51,54.38,Casual Shopper & Bouncers
10,Casual Shopper,1871,1,Bouncers,26,10.94,69.5,Casual Shopper & Bouncers
11,Loyal Shopper,1035,1,Casual Browsers,49,5.31,51.52,Loyal Shopper & Casual Browsers
12,VIP Shopper,4129,7,Bouncers,43,13.66,99.03,VIP Shopper & Bouncers
13,Casual Shopper,3398,1,Casual Browsers,36,2.52,61.13,Casual Shopper & Casual Browsers
14,Casual Shopper,3881,1,Active Visitors,13,9.39,37.1,Casual Shopper & Active Visitors
15,Loyal Shopper,1291,3,Casual Browsers,32,4.1,77.22,Loyal Shopper & Casual Browsers
16,Loyal Shopper,239,10,Casual Browsers,17,4.5,17.05,Loyal Shopper & Casual Browsers
17,Loyal Shopper,1030,4,Casual Browsers,41,4.84,38.45,Loyal Shopper & Casual Browsers
18,Loyal Shopper,1748,4,Casual Browsers,36,8.35,34.7,Loyal Shopper & Casual Browsers
19,Casual Shopper,1765,2,Casual Browsers,46,1.97,43.18,Casual Shopper & Casual Browsers
20,Casual Shopper,2643,1,Bouncers,19,8.56,78.18,Casual Shopper & Bouncers
21,Casual Shopper,4186,3,Casual Browsers,35,10.72,48.42,Casual Shopper & Casual Browsers
22,VIP Shopper,4483,11,Bouncers,46,10.18,79.4,VIP Shopper & Bouncers
23,Loyal Shopper,1148,4,Casual Browsers,40,8.27,57.65,Loyal Shopper & Casual Browsers
24,Casual Shopper,2376,3,Active Visitors,28,16.94,34.21,Casual Shopper & Active Visitors
